Date,Average,Normal year
2017-01-02,"18,600","7,841"
2017-01-03,"19,800","7,561"
2017-01-04,"20,000","7,010"
2017-01-05,"20,000","7,047"
2017-01-06,"18,600","7,067"
2017-01-09,"17,400","7,053"
2017-01-10,"17,400","7,027"
2017-01-11,"16,400","7,003"
2017-01-12,"15,000","6,950"
2017-01-13,"14,400","6,867"
2017-01-16,"14,400","6,677"
2017-01-17,"14,800","6,623"
2017-01-18,"14,800","6,673"
2017-01-19,"16,200","6,767"
2017-01-20,"16,200","6,920"
2017-01-23,"15,200","7,277"
2017-01-24,"15,200","7,267"
2017-01-25,"15,200","7,283"
2017-01-26,"15,200","7,330"
2017-01-31,"15,200","7,310"
2017-02-01,"15,800","7,297"
2017-02-02,"16,600","7,310"
2017-02-03,"16,600","7,323"
2017-02-06,"16,000","7,421"
2017-02-07,"15,800","7,483"
2017-02-08,"15,800","7,576"
2017-02-09,"15,400","7,720"
2017-02-10,"15,200","7,973"
2017-02-13,"15,400","8,292"
2017-02-14,"15,000","8,499"
2017-02-15,"15,000","8,557"
2017-02-16,"14,800","8,567"
2017-02-17,"13,200","8,513"
2017-02-20,"14,200","8,301"
2017-02-21,"13,000","8,224"
2017-02-22,"12,800","8,207"
2017-02-23,"12,800","8,207"
2017-02-24,"12,800","8,207"
2017-02-27,"14,800","8,283"
2017-02-28,"14,800","8,280"
2017-03-02,"14,800","8,427"
2017-03-03,"14,200","8,380"
2017-03-06,"13,800","8,333"
2017-03-07,"13,800","8,400"
2017-03-08,"13,600","8,400"
2017-03-09,"12,600","8,370"
2017-03-10,"12,600","8,370"
2017-03-13,"11,800","8,109"
2017-03-14,"12,600","7,987"
2017-03-15,"12,000","7,947"
2017-03-16,"12,200","7,910"
2017-03-17,"11,800","7,897"
2017-03-20,"11,800","8,160"
2017-03-21,"12,600","8,280"
2017-03-22,"12,000","8,360"
2017-03-23,"11,600","8,367"
2017-03-24,"12,200","8,410"
2017-03-27,"12,600","8,453"
2017-03-28,"13,000","8,420"
2017-03-29,"13,400","8,367"
2017-03-30,"13,000","8,327"
2017-03-31,"12,600","8,313"
2017-04-03,"11,800","8,267"
2017-04-04,"11,600","8,240"
2017-04-05,"11,400","8,213"
2017-04-06,"12,200","8,227"
2017-04-07,"12,400","8,280"
2017-04-10,"12,400","8,240"
2017-04-11,"12,200","8,233"
2017-04-12,"12,200","8,220"
2017-04-13,"12,200","8,140"
2017-04-14,"12,600","8,060"
2017-04-17,"12,200","7,933"
2017-04-18,"11,800","7,907"
2017-04-19,"12,400","7,963"
2017-04-20,"13,200","7,960"
2017-04-21,"12,600","7,943"
2017-04-24,"11,320","8,373"
2017-04-25,"12,000","8,613"
2017-04-26,"12,400","8,787"
2017-04-27,"12,600","8,917"
2017-04-28,"12,800","8,917"
2017-05-02,"12,600","9,183"
2017-05-04,"13,600","9,340"
2017-05-08,"13,800","9,707"
2017-05-10,"13,800","10,110"
2017-05-11,"14,200","10,230"
2017-05-12,"14,400","10,297"
2017-05-15,"13,600","10,613"
2017-05-16,"13,600","10,770"
2017-05-17,"13,600","12,848"
2017-05-18,"13,600","12,783"
2017-05-19,"13,000","12,746"
2017-05-22,"11,000","13,918"
2017-05-23,"11,000","11,682"
2017-05-24,"11,000","10,492"
2017-05-25,"10,200","10,304"
2017-05-26,"9,200","10,259"
2017-05-29,"8,000","10,311"
2017-05-30,"8,200","10,361"
2017-05-31,"8,400","10,308"
2017-06-01,"8,600","10,279"
2017-06-02,"8,600","10,278"
2017-06-05,"9,000","11,158"
2017-06-07,"8,600","10,317"
2017-06-08,"8,600","10,283"
2017-06-09,"8,600","9,742"
2017-06-12,"7,400","9,548"
2017-06-13,"7,800","9,560"
2017-06-14,"7,800","9,617"
2017-06-15,"7,600","10,213"
2017-06-16,"7,200","10,300"
2017-06-19,"8,600","10,370"
2017-06-20,"8,200","10,440"
2017-06-21,"7,600","10,733"
2017-06-22,"8,000","10,853"
2017-06-23,"9,000","10,887"
2017-06-26,"8,000","11,037"
2017-06-27,"9,000","11,023"
2017-06-28,"9,200","10,743"
2017-06-29,"8,800","10,750"
2017-06-30,"8,000","11,150"
2017-07-01,"9,400","10,680"
2017-07-04,"12,000","11,633"
2017-07-05,"12,400","11,757"
2017-07-06,"12,000","11,833"
2017-07-07,"12,000","11,880"
2017-07-08,"11,200","11,967"
2017-07-11,"9,200","10,747"
2017-07-12,"9,000","10,620"
2017-07-13,"9,200","10,643"
2017-07-14,"9,200","10,770"
2017-07-15,"9,400","10,993"
2017-07-18,"10,600","11,160"
2017-07-19,"9,600","11,093"
2017-07-20,"9,800","11,087"
2017-07-21,"10,000","11,293"
2017-07-22,"10,000","11,700"
2017-07-25,"10,000","11,917"
2017-07-26,"10,600","12,077"
2017-07-27,"10,200","12,037"
2017-07-28,"10,200","11,997"
2017-07-29,"9,800","11,947"
2017-08-01,"9,200","11,783"
2017-08-02,"9,400","11,770"
2017-08-03,"9,400","11,663"
2017-08-04,"9,500","10,743"
2017-08-05,"10,000","10,595"
2017-08-08,"10,000","10,343"
2017-08-09,"10,300","9,588"
2017-08-10,"10,200","13,730"
2017-08-11,"11,400","13,271"
2017-08-12,"10,800","14,543"
2017-08-16,"11,800","11,782"
2017-08-17,"13,000","11,473"
2017-08-18,"13,000","11,233"
2017-08-19,"13,600","11,200"
2017-08-22,"14,400","11,298"
2017-08-23,"14,600","11,445"
2017-08-24,"15,200","11,617"
2017-08-25,"16,200","11,720"
2017-08-26,"16,800","11,730"
2017-08-29,"18,400","11,767"
2017-08-30,"20,000","11,833"
2017-08-31,"21,800","11,783"
2017-09-01,"25,400","11,667"
2017-09-02,"23,600","11,617"
2017-09-05,"22,200","11,507"
2017-09-06,"20,800","11,540"
2017-09-07,"19,200","11,577"
2017-09-08,"19,000","11,583"
2017-09-09,"18,400","11,573"
2017-09-12,"19,400","11,677"
2017-09-13,"22,400","11,963"
2017-09-19,"18,600","12,473"
2017-09-20,"20,200","11,963"
2017-09-21,"19,200","11,417"
2017-09-22,"18,800","11,177"
2017-09-23,"18,200","10,960"
2017-09-26,"18,400","10,453"
2017-09-27,"19,400","10,227"
2017-09-28,"20,600","10,127"
2017-09-29,"20,000","10,100"
2017-09-30,"19,400","10,000"
2017-10-10,"10,200","11,800"
2017-10-11,"10,200","11,603"
2017-10-12,"9,600","11,477"
2017-10-13,"9,400","11,410"
2017-10-16,"7,000","11,040"
2017-10-17,"6,200","11,032"
2017-10-18,"5,800","10,997"
2017-10-19,"6,000","11,030"
2017-10-20,"6,200","11,104"
2017-10-23,"6,250","11,160"
2017-10-24,"6,250","11,160"
2017-10-25,"6,050","11,177"
2017-10-26,"6,050","11,137"
2017-10-27,"6,050","11,110"
2017-10-30,"6,100","10,803"
2017-10-31,"6,100","8,904"
2017-11-01,"6,100","8,715"
2017-11-02,"6,100","8,580"
2017-11-03,"6,500","10,354"
2017-11-06,"6,900","8,906"
2017-11-07,"6,700","8,943"
2017-11-08,"6,700","9,000"
2017-11-09,"6,300","9,748"
2017-11-10,"6,300","9,788"
2017-11-13,"6,300","9,746"
2017-11-14,"6,100","9,150"
2017-11-15,"6,000","9,180"
2017-11-16,"6,200","9,197"
2017-11-17,"6,200","9,240"
2017-11-20,"6,200","9,520"
2017-11-21,"6,400","9,560"
2017-11-22,"6,400","9,600"
2017-11-23,"6,400","9,613"
2017-11-24,"7,600","9,627"
2017-11-27,"7,600","9,737"
2017-11-28,"7,600","9,735"
2017-11-29,"7,400","9,706"
2017-11-30,"7,600","9,695"
2017-12-04,"7,000","9,699"
2017-12-05,"6,700","9,712"
2017-12-06,"6,700","9,831"
2017-12-07,"6,800","10,004"
2017-12-08,"7,200","10,115"
2017-12-11,"7,400","10,200"
2017-12-12,"7,400","10,300"
2017-12-13,"7,400","10,313"
2017-12-14,"7,100","10,283"
2017-12-15,"6,700","10,237"
2017-12-18,"7,250","11,382"
2017-12-19,"7,350","10,600"
2017-12-20,"7,350","10,539"
2017-12-21,"7,350","10,393"
2017-12-22,"7,350","8,958"
2017-12-26,"8,000","10,077"
2017-12-27,"7,600","9,903"
2017-12-28,"7,400","10,470"
2017-12-29,"7,400","8,588"
